year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1905,Peace,The Nobel Peace Prize,for her audacity to oppose the horrors of war,1,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire,female,,,,21/06/1914,Vienna,Austria
1905,Physics,The Nobel Prize in Physics,for his work on cathode rays,1,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg,Hungary,male,Kiel University,Kiel,Germany,20/05/1947,Messelhausen,Germany
1905,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his investigations and discoveries in relation to tuberculosis,1,297,Individual,Robert Koch,1843-12-11,Clausthal,Germany,male,Institute for Infectious Diseases,Berlin,Germany,27/05/1910,Baden-Baden,Germany
1906,Chemistry,The Nobel Prize in Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",1,165,Individual,Henri Moissan,1852-09-28,Paris,France,male,Sorbonne University,Paris,France,20/02/1907,Paris,France
1906,Literature,The Nobel Prize in Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",1,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany,male,,,,16/02/1907,Bologna,Italy
1906,Peace,The Nobel Peace Prize,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",1,470,Individual,Theodore Roosevelt Jr.,1858-10-27,"New York, NY",USA,male,,,,06/01/1919,"Oyster Bay, NY",USA
1906,Physics,The Nobel Prize in Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,1,10,Individual,Joseph John Thomson,1856-12-18,Cheetham Hill,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,30/08/1940,Cambridge,United Kingdom
1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on the structure of the nervous system,02-Jan,298,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,male,Pavia University,Pavia,Italy,21/01/1926,Pavia,Italy
1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on the structure of the nervous system,02-Jan,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragón,Spain,male,Madrid University,Madrid,Spain,17/10/1934,Madrid,Spain
1907,Chemistry,The Nobel Prize in Chemistry,for his biochemical researches and his discovery of cell-free fermentation,1,166,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria,male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,13/08/1917,Focsani,Romania
1907,Literature,The Nobel Prize in Literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",1,577,Individual,Rudyard Kipling,1865-12-30,Bombay,British India,male,,,,18/01/1936,London,United Kingdom
1907,Peace,The Nobel Peace Prize,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",02-Jan,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire,male,,,,10/02/1918,Milan,Italy
1907,Peace,The Nobel Peace Prize,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,02-Jan,472,Individual,Louis Renault,1843-05-21,Autun,France,male,Sorbonne University,Paris,France,08/02/1918,Barbizon,France
1907,Physics,The Nobel Prize in Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1,11,Individual,Albert Abraham Michelson,1852-12-19,Strelno,Prussia,male,University of Chicago,"Chicago, IL",USA,09/05/1931,"Pasadena, CA",USA
1907,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases,1,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,male,Institut Pasteur,Paris,France,18/05/1922,Paris,France
1908,Chemistry,The Nobel Prize in Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",1,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,male,Victoria University,Manchester,United Kingdom,19/10/1937,Cambridge,United Kingdom
1908,Literature,The Nobel Prize in Literature,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",1,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland,male,,,,14/09/1926,Jena,Germany
1908,Peace,The Nobel Peace Prize,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",02-Jan,474,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,male,,,,22/01/1922,Copenhagen,Denmark
1908,Peace,The Nobel Peace Prize,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",02-Jan,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,male,,,,20/02/1916,Stockholm,Sweden
1908,Physics,The Nobel Prize in Physics,for his method of reproducing colours photographically based on the phenomenon of interference,1,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,male,Sorbonne University,Paris,France,13/07/1921,,
1908,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on immunity,02-Jan,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov,Russian Empire,male,Institut Pasteur,Paris,France,15/07/1916,Paris,France
1908,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on immunity,02-Jan,302,Individual,Paul Ehrlich,1854-03-14,Strehlen,Prussia,male,Goettingen University,Göttingen,Germany,20/08/1915,Bad Homburg vor der Höhe,Germany
1909,Chemistry,The Nobel Prize in Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,1,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire,male,Leipzig University,Leipzig,Germany,04/04/1932,Leipzig,Germany
1909,Literature,The Nobel Prize in Literature,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",1,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,female,,,,16/03/1940,Mårbacka,Sweden
1909,Peace,The Nobel Peace Prize,for their prominent position in the international movement for peace and arbitration,02-Jan,475,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,male,,,,06/10/1912,Lucerne,Switzerland
1909,Peace,The Nobel Peace Prize,for their prominent position in the international movement for peace and arbitration,02-Jan,476,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,France,male,,,,15/05/1924,Paris,France
1909,Physics,The Nobel Prize in Physics,in recognition of their contributions to the development of wireless telegraphy,02-Jan,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel,male,Strasbourg University,Strasbourg,Germany,20/04/1918,"Brooklyn, NY",USA
1909,Physics,The Nobel Prize in Physics,in recognition of their contributions to the development of wireless telegraphy,02-Jan,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,20/07/1937,Rome,Italy
1909,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on the physiology, pathology and surgery of the thyroid gland",1,303,Individual,Emil Theodor Kocher,1841-08-25,Bern,Switzerland,male,Berne University,Bern,Switzerland,27/07/1917,Bern,Switzerland
1910,Chemistry,The Nobel Prize in Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,1,169,Individual,Otto Wallach,1847-03-27,Koenigsberg,Germany,male,Goettingen University,Göttingen,Germany,26/02/1931,Göttingen,Germany
1910,Literature,The Nobel Prize in Literature,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",1,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia,male,,,,02/04/1914,Munich,Germany
1910,Peace,The Nobel Peace Prize,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",1,477,Organization,Permanent International Peace Bureau,1891-01-01,Bern,Switzerland,,,,,,,
1910,Physics,The Nobel Prize in Physics,for his work on the equation of state for gases and liquids,1,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,the Netherlands,male,Amsterdam University,Amsterdam,the Netherlands,08/03/1923,Amsterdam,the Netherlands
1910,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1,304,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg,male,University of Heidelberg,Heidelberg,Germany,05/07/1927,Heidelberg,Germany
1911,Chemistry,The Nobel Prize in Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire,female,Sorbonne University,Paris,France,04/07/1934,Sallanches,France
1911,Literature,The Nobel Prize in Literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",1,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,male,,,,06/05/1949,Nice,France
1911,Peace,The Nobel Peace Prize,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",02-Jan,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,male,,,,04/05/1921,Vienna,Austria
1911,Peace,The Nobel Peace Prize,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",02-Jan,478,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,the Netherlands,male,,,,29/07/1913,the Hague,the Netherlands
1911,Physics,The Nobel Prize in Physics,for his discoveries regarding the laws governing the radiation of heat,1,16,Individual,Wilhelm Wien,1864-01-13,Gaffken,Prussia,male,Würzburg University,Würzburg,Germany,30/08/1928,Munich,Germany
1911,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his work on the dioptrics of the eye,1,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,male,Uppsala University,Uppsala,Sweden,28/07/1930,Stockholm,Sweden
1912,Chemistry,The Nobel Prize in Chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,02-Jan,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,male,Toulouse University,Toulouse,France,14/08/1941,Toulouse,France
1912,Chemistry,The Nobel Prize in Chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",02-Jan,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,male,Nancy University,Nancy,France,13/12/1935,Lyon,France
1912,Literature,The Nobel Prize in Literature,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",1,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia,male,,,,06/06/1946,Agnetendorf,Germany
1912,Peace,The Nobel Peace Prize,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,1,480,Individual,Elihu Root,1845-02-15,"Clinton, NY",USA,male,,,,07/02/1937,"New York, NY",USA
1912,Physics,The Nobel Prize in Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,1,17,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,male,Swedish Gas-Accumulator Co.,"Lidingö, Stockholm",Sweden,09/12/1937,Stockholm,Sweden
1912,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,1,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,male,Rockefeller Institute for Medical Research,"New York, NY",USA,05/11/1944,Paris,France
1913,Chemistry,The Nobel Prize in Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,1,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,male,University of Zurich,Zurich,Switzerland,15/11/1919,Zurich,Switzerland
1913,Literature,The Nobel Prize in Literature,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",1,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,male,,,,07/08/1941,Calcutta,India
1913,Peace,The Nobel Peace Prize,for his unparalleled contribution to the organization of peaceful internationalism,1,481,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,male,,,,14/05/1943,Brussels,Belgium
1913,Physics,The Nobel Prize in Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",1,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,the Netherlands,male,Leiden University,Leiden,the Netherlands,21/02/1926,Leiden,the Netherlands
1913,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of his work on anaphylaxis,1,307,Individual,Charles Robert Richet,1850-08-26,Paris,France,male,Sorbonne University,Paris,France,04/12/1935,Paris,France
1914,Chemistry,The Nobel Prize in Chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,1,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",USA,male,Harvard University,"Cambridge, MA",USA,02/04/1928,"Cambridge, MA",USA
1914,Physics,The Nobel Prize in Physics,for his discovery of the diffraction of X-rays by crystals,1,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,23/04/1960,Berlin,West Germany
1914,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his work on the physiology and pathology of the vestibular apparatus,1,308,Individual,Robert Bárány,1876-04-22,Vienna,Austria,male,Vienna University,Vienna,Austria,08/04/1936,Uppsala,Sweden
1915,Chemistry,The Nobel Prize in Chemistry,"for his researches on plant pigments, especially chlorophyll",1,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,03/08/1942,Locarno,Switzerland
1915,Literature,The Nobel Prize in Literature,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,1,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,male,,,,30/12/1944,Vézelay,France
1915,Physics,The Nobel Prize in Physics,for their services in the analysis of crystal structure by means of X-rays,02-Jan,21,Individual,William Lawrence Bragg,1890-03-31,Adelaide,Australia,male,Victoria University,Manchester,United Kingdom,01/07/1971,Ipswich,United Kingdom
1915,Physics,The Nobel Prize in Physics,for their services in the analysis of crystal structure by means of X-rays,02-Jan,20,Individual,Sir William Henry Bragg,1862-07-02,Wigton,United Kingdom,male,University College,London,United Kingdom,12/03/1942,London,United Kingdom
1916,Literature,The Nobel Prize in Literature,in recognition of his significance as the leading representative of a new era in our literature,1,585,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,male,,,,20/05/1940,Övralid,Sweden
1917,Literature,The Nobel Prize in Literature,for his authentic descriptions of present-day life in Denmark,02-Jan,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,male,,,,21/08/1943,Ordrup,Denmark
1917,Literature,The Nobel Prize in Literature,"for his varied and rich poetry, which is inspired by lofty ideals",02-Jan,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,male,,,,11/10/1919,Klotzsche,Germany
1917,Peace,The Nobel Peace Prize,for the efforts to take care of wounded soldiers and prisoners of war and their families,1,482,Organization,International Committee of the Red Cross,1863-01-01,Geneva,Switzerland,,,,,,,
1917,Physics,The Nobel Prize in Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,1,22,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,male,Edinburgh University,Edinburgh,United Kingdom,23/10/1944,Edinburgh,Scotland
1918,Chemistry,The Nobel Prize in Chemistry,for the synthesis of ammonia from its elements,1,177,Individual,Fritz Haber,1868-12-09,Breslau,Prussia,male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,29/01/1934,Basel,Switzerland
1918,Physics,The Nobel Prize in Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,1,23,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Kiel,Schleswig,male,Berlin University,Berlin,Germany,04/10/1947,Göttingen,West Germany
1919,Literature,The Nobel Prize in Literature,"in special appreciation of his epic, <I>Olympian Spring</I>",1,588,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,male,,,,29/12/1924,Lucerne,Switzerland
1919,Peace,The Nobel Peace Prize,for his role as founder of the League of Nations,1,483,Individual,Thomas Woodrow Wilson,1856-12-28,"Staunton, VA",USA,male,,,,03/02/1924,"Washington, D.C.",USA
1919,Physics,The Nobel Prize in Physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,1,24,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,male,Greifswald University,Greifswald,Germany,21/06/1957,Traunstein,West Germany
1919,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries relating to immunity,1,309,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,male,Brussels University,Brussels,Belgium,06/04/1961,Brussels,Belgium
1920,Chemistry,The Nobel Prize in Chemistry,in recognition of his work in thermochemistry,1,178,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Prussia,male,Berlin University,Berlin,Germany,18/11/1941,Muskau,Germany
1920,Literature,The Nobel Prize in Literature,"for his monumental work, <I>Growth of the Soil</I>",1,589,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,male,,,,19/02/1952,Grimstad,Norway
1920,Peace,The Nobel Peace Prize,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,1,484,Individual,Léon Victor Auguste Bourgeois,1851-05-21,Paris,France,male,,,,29/09/1925,Épernay,France
1920,Physics,The Nobel Prize in Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,1,25,Individual,Charles Edouard Guillaume,1861-02-15,Fleurier,Switzerland,male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,13/06/1938,Sèvres,France
1920,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the capillary motor regulating mechanism,1,310,Individual,Schack August Steenberg Krogh,1874-11-15,Grenå,Denmark,male,Copenhagen University,Copenhagen,Denmark,13/09/1949,Copenhagen,Denmark
1921,Chemistry,The Nobel Prize in Chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",1,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,male,University of Oxford,Oxford,United Kingdom,22/09/1956,Brighton,United Kingdom
1921,Literature,The Nobel Prize in Literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",1,590,Individual,Anatole France,1844-04-16,Paris,France,male,,,,12/10/1924,Saint-Cyr-sur-Loire,France
1921,Peace,The Nobel Peace Prize,for their lifelong contributions to the cause of peace and organized internationalism,02-Jan,486,Individual,Christian Lous Lange,1869-09-17,Stavanger,Norway,male,,,,11/12/1938,Oslo,Norway
1921,Peace,The Nobel Peace Prize,for their lifelong contributions to the cause of peace and organized internationalism,02-Jan,485,Individual,Karl Hjalmar Branting,1860-11-23,Stockholm,Sweden,male,,,,24/02/1925,Stockholm,Sweden
1921,Physics,The Nobel Prize in Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",1,26,Individual,Albert Einstein,1879-03-14,Ulm,Germany,male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,18/04/1955,"Princeton, NJ",USA
